a	0	0	5	10
b	5	0	5	10
c	10	0	5	10
d	15	0	5	10
e	20	0	5	10
f	25	0	5	10
g	30	0	5	10
h	35	0	5	10
i	40	0	5	10
j	45	0	5	10
k	50	0	5	10
l	55	0	5	10
m	60	0	5	10
n	65	0	5	10
o	70	0	5	10
p	75	0	5	10
q	80	0	5	10
r	85	0	5	10
s	90	0	5	10
t	95	0	5	10
u	100	0	5	10
v	105	0	5	10
w	110	0	5	10
x	115	0	5	10
y	120	0	5	10
z	0	10	5	10
A	5	10	5	10
B	10	10	5	10
C	15	10	5	10
D	20	10	5	10
E	25	10	5	10
F	30	10	5	10
G	35	10	5	10
H	40	10	5	10
I	45	10	5	10
J	50	10	5	10
K	55	10	5	10
L	60	10	5	10
M	65	10	5	10
N	70	10	5	10
O	75	10	5	10
P	80	10	5	10
Q	85	10	5	10
R	90	10	5	10
S	95	10	5	10
T	100	10	5	10
U	105	10	5	10
V	110	10	5	10
W	115	10	5	10
X	120	10	5	10
Y	0	20	5	10
Z	5	20	5	10
1	10	20	5	10
2	15	20	5	10
3	20	20	5	10
4	25	20	5	10
5	30	20	5	10
6	35	20	5	10
7	40	20	5	10
8	45	20	5	10
9	50	20	5	10
0	55	20	5	10
!	60	20	5	10
@	65	20	5	10
#	70	20	5	10
$	75	20	5	10
%	80	20	5	10
^	85	20	5	10
&	90	20	5	10
*	95	20	5	10
(	100	20	5	10
)	105	20	5	10
_	110	20	5	10
+	115	20	5	10
-	120	20	5	10
=	0	30	5	10
.	5	30	5	10
,	10	30	5	10
 	15	30	5	10
